2016,,,,,,,,
,,,,,,,,
Day,µ(R),σ(R),|R−|,µ(R−),σ(R−),|R+|,µ(R+),σ(R+)
Monday,-0.0041,0.0112,21,-0.0238,0.0326,23,0.0135,0.0112
Tuesday,0.0002,0.0347,28,-0.0203,0.0222,24,0.0241,0.0347
Wednesday,0.0015,0.0278,25,-0.0228,0.0221,27,0.0241,0.0278
Thursday,-0.0045,0.0264,29,-0.0186,0.0184,22,0.0139,0.0264
Friday,0.0034,0.0186,27,-0.0145,0.0134,24,0.0235,0.0186
,,,,,,,,
2017,,,,,,,,
,,,,,,,,
Day,µ(R),σ(R),|R−|,µ(R−),σ(R−),|R+|,µ(R+),σ(R+)
Monday,-0.0018,0.0071,26,-0.009,0.0086,19,0.0079,0.0071
Tuesday,-0.0029,0.0071,30,-0.0116,0.0087,21,0.0095,0.0071
Wednesday,-0.0006,0.0102,25,-0.0107,0.0078,24,0.0099,0.0102
Thursday,0.0062,0.0361,23,-0.0078,0.0069,28,0.0177,0.0361
Friday,0.0028,0.0091,18,-0.0088,0.0063,32,0.0095,0.0091
,,,,,,,,
2018,,,,,,,,
,,,,,,,,
Day,µ(R),σ(R),|R−|,µ(R−),σ(R−),|R+|,µ(R+),σ(R+)
Monday,0.0013,0.0092,20,-0.0147,0.0118,26,0.0136,0.0092
Tuesday,-0.0005,0.0082,30,-0.0089,0.0069,20,0.012,0.0082
Wednesday,0.003,0.012,22,-0.0096,0.0083,28,0.0129,0.012
Thursday,0.0004,0.0167,28,-0.0103,0.0061,20,0.0155,0.0167
Friday,-0.002,0.0059,28,-0.0116,0.009,23,0.0097,0.0059
,,,,,,,,
2019,,,,,,,,
,,,,,,,,
Day,µ(R),σ(R),|R−|,µ(R−),σ(R−),|R+|,µ(R+),σ(R+)
Monday,0.0014,0.0058,20,-0.0077,0.0075,27,0.0083,0.0058
Tuesday,0.0005,0.0061,26,-0.0075,0.0053,26,0.0085,0.0061
Wednesday,-0.0017,0.0053,30,-0.008,0.0066,20,0.0078,0.0053
Thursday,0.0003,0.0053,25,-0.0067,0.0051,25,0.0073,0.0053
Friday,0.0041,0.0052,15,-0.0076,0.0056,36,0.0089,0.0052
,,,,,,,,
2020,,,,,,,,
,,,,,,,,
Day,µ(R),σ(R),|R−|,µ(R−),σ(R−),|R+|,µ(R+),σ(R+)
Monday,-0.0032,0.021,21,-0.035,0.0533,26,0.0223,0.021
Tuesday,0.0076,0.0257,22,-0.0149,0.0119,29,0.0249,0.0257
Wednesday,-0.004,0.0192,23,-0.0351,0.0473,27,0.0221,0.0192
Thursday,0.0032,0.0532,23,-0.0261,0.0483,26,0.0294,0.0532
Friday,0.002,0.0234,25,-0.0148,0.0125,23,0.0204,0.0234